company,email,site_url,audit_notes,pay_signals,skin_pair,demo_url_a,demo_url_b,status,reply_class,checkout_status,intake_status,delivered_url,source,do_not_contact,quoted_price,vertical,notes,approval_seq,owner_approved_at,sent_at,bounce_at,bounce_type,reply_at,reply_type,meeting_at,quote_at,order_at,order_amount_yen,template_version,followup_sent_at
株式会社杉本工務店,info@sugi-kou.net,"https://sugi-kou.net/company/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/sugimoto-koumuten/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,独立レビューPASS(2026-09-11)/強み：代表が日本代表スコッドに入られたラグビー選手だったのですね|/軽微:新築外観写真が店舗改装カードに使われている・施工実績が空枠でこの会社には見劣り(ボリューム型候補として再考の余地あり),66,2026-09-03,,,,,,,,,,,
株式会社前澤工務店,info@maezawa-koumuten.com,"https://www.maezawa-koumuten.com/pc/index.html",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/maezawa-koumuten/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,独立レビューでFAIL→創業年を先方表記(1949年5月)に戻して再PASS(2026-09-11)/強み：昭和22年の開業から、長く新宿で続けていらっしゃるのですね|,67,2026-09-03,,,,,,,,,,,
株式会社幸治工務店,hiroaki_koji@mac.com,"https://koji-koumuten.com/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/koji-koumuten/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03 / 強み：昭和初期創業から3代続く町の工務店でいらっしゃるのですね| / 独立レビューPASS(2026-09-11、実ブラウザJS実行後DOM+UA差分で動的検証済み),68,2026-09-03,,,,,,,,,,,
有限会社野澤工務店,nozawakoumuten@tbr.t-com.ne.jp,"http://www.nozawa-koumuten.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)更新停止感(HTML内2000止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,69,2026-09-03,,,,,,,,,,,
株式会社辰栄工務店,info@shin-ei-net.co.jp,"https://www.shin-ei-net.co.jp/",2026-08-23 owner承認。scan:粗:(1)tel:なし;(2)更新停止感(HTML内2017止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,70,2026-09-03,,,,,,,,,,,
株式会社寿々木工務店,kotobuki@heart.ocn.ne.jp,"https://suzuki-komuten.sakura.ne.jp/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,71,2026-09-03,,,,,,,,,,,
株式会社横和工務店,info@yokowa.co.jp,"http://www.yokowa.co.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,72,2026-09-03,,,,,,,,,,,
有限会社米澤工務店,yonezawa@yone-kou.com,"http://yone-kou.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,73,2026-09-03,,,,,,,,,,,
株式会社渡辺工務店,info@watanabe-koumuten.jp,"http://watanabe-koumuten.jp/contact",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,74,2026-09-03,,,,,,,,,,,
木村工務店,kimurakoumuten@amber.plala.or.jp,"http://www.kimura-d9.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,75,2026-09-03,,,,,,,,,,,
株式会社浜工務店,hama6135@theia.ocn.ne.jp,"http://www.orenoie.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,76,2026-09-03,,,,,,,,,,,
上里建設,kamiken@sky.plala.or.jp,"https://kamiken.info/inquiry/",2026-08-23 owner承認。scan:粗:(1)tel:なし;(2)更新停止感(HTML内2016止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,77,2026-09-03,,,,,,,,,,,
いとう建正株式会社,ito-daiku@able.ocn.ne.jp,"http://itoukensyou.web.fc2.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,78,2026-09-03,,,,,,,,,,,
西村工務店,info@nishimura-daiku.com,"https://www.nishimura-daiku.com/company/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,79,2026-09-03,,,,,,,,,,,
有限会社つくし工務店,tsukushi_1@mub.biglobe.ne.jp,"https://tsukushikoumuten.com/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,80,2026-09-03,,,,,,,,,,,
有限会社タイセイホーム,info@taisei-home.com,"https://www.taisei-home.com/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03 / 2026-09-07 旧サイト診断のためpaused: 登録URL https://www.taisei-home.com/ は現行公式ではない。現行は https://www.taiseihome.net/。URLを差し替えれば再開可（旧サイト問題ではなく同名他社の誤登録: 登録URLは東京都世田谷区の「株式会社タイセイホーム」賃貸サイト。当社は高知県高知市の有限会社で別法人）,81,2026-09-03,,,,,,,,,,,
株式会社武田工務店,takeda@takeda-koumuten.com,"https://www.takeda-koumuten.com/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2008止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,82,2026-09-03,,,,,,,,,,,
溝江工務店,info@mizoekoumuten.jp,"http://www.mizoekoumuten.jp/company.html",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,85,2026-09-03,,,,,,,,,,,
有限会社畠山工務店,fp.h-k11@beach.ocn.ne.jp,"http://hatakeyama-komuten.com/contact-us",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2017止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,86,2026-09-03,,,,,,,,,,,
岩崎工務店,info@iwasaki-k.jp,"https://www.iwasaki-k.jp/pc/index.html",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2018止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03,87,2026-09-03,,,,,,,,,,,
株式会社建築工社,mail@kentikukosya.co.jp,"https://kentikukosya.co.jp/contact/",2026-08-23 owner承認。scan:粗:(1)tel:なし;(2)更新停止感(HTML内2000止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,83,2026-09-09,,,,,,,,,,,
株式会社芦野組,ashino@basil.ocn.ne.jp,"https://ashino.bz/contact/",2026-08-23 owner承認。scan:粗:(1)tel:なし;(2)更新停止感(HTML内2017止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,84,2026-09-09,,,,,,,,,,,
株式会社東和不動産,info@apamancenter.com,"https://www.toware.co.jp/inquiry/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,85,2026-09-09,,,,,,,,,,,
田中建設有限会社,info@nb-tanaka.co.jp,"https://www.nb-tanaka.co.jp/",2026-08-23 owner承認。scan:粗:(1)tel:なし;(2)更新停止感(HTML内2000止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,86,2026-09-09,,,,,,,,,,,
都夢住研株式会社,tomu-jk@msa.biglobe.ne.jp,"http://tomu-jk.co.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,87,2026-09-09,,,,,,,,,,,
株式会社ハウジングホース,housing-horse@nifty.com,"https://www.housing-horse.com/corporate/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,88,2026-09-09,,,,,,,,,,,
株式会社小阪工務店,info@kosakaweb.jp,"https://www.kosakaweb.jp/contact/",2026-08-23 owner承認。scan:粗:(1)tel:なし;(2)更新停止感(HTML内2016止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,89,2026-09-09,,,,,,,,,,,
株式会社大塚工務店,happy.homes.since1925@s5.dion.ne.jp,"https://kinoie.life/company/",2026-08-23 owner承認。scan:粗:(1)tel:なし;(2)更新停止感(HTML内2019止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,91,2026-09-09,,,,,,,,,,,
株式会社関西技建,customer@kansaigiken.co.jp,"http://kansaigiken.co.jp/company/",2026-08-23 owner承認。scan:粗:(1)SSL未整備. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,92,2026-09-09,,,,,,,,,,,
株式会社清水工務店,info@sh-koum.com,"https://www.sh-koum.com/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,93,2026-09-09,,,,,,,,,,,
株式会社ミヅホ建設,m_nagamori@mizuhokensetsu.co.jp,"http://mizuhokensetsu.co.jp/company.html",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,94,2026-09-09,,,,,,,,,,,
株式会社中部ジェイ・シィ,info@chubu-jc.com,"http://www.chubu-jc.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,95,2026-09-09,,,,,,,,,,,
中西木材株式会社,info@n-wood.co.jp,"https://www.n-wood.co.jp/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,96,2026-09-09,,,,,,,,,,,
水上総建株式会社,info@m-souken.jp,"https://m-souken.jp/company/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2015止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,97,2026-09-09,,,,,,,,,,,
株式会社深澤工務所,finfo@k-fukasawa.com,"https://k-fukasawa.com/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,98,2026-09-09,,,,,,,,,,,
今村弘建設,hiro_carpenter@hb.tp1.jp,"https://www.v-hf.com/k/imamura",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,⚠2026-09-07 登録URLは旧サイト。現行は https://imamurahiroshikensetsu.com/ — URL差し替え前に承認しないこと / 2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,100,2026-09-09,,,,,,,,,,,
有限会社大隈建築,okuma@okumakenchiku.com,"http://www.okumakenchiku.com/contact/regist",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,102,2026-09-09,,,,,,,,,,,
有限会社三栄建設,info@saneikensetsu.jp,"http://www.saneikensetsu.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,103,2026-09-09,,,,,,,,,,,
株式会社小川工務店,info@ogawa-1k.com,"http://www.ogawa-1k.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)更新停止感(HTML内2011止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,104,2026-09-09,,,,,,,,,,,
株式会社五瀬建築工房,info@gose-arc.com,"https://gose-arc.com/company/",2026-08-23 owner承認。scan:粗:(1)tel:なし;(2)更新停止感(HTML内2017止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,105,2026-09-09,,,,,,,,,,,
有限会社堺建設,info@sakai.bona.jp,"https://sakai.bona.jp/company.html",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2000止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,106,2026-09-09,,,,,,,,,,,
株式会社諏訪原建設,postmaster@suwahara.jp,"https://www.suwahara.jp/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,107,2026-09-09,,,,,,,,,,,
株式会社ちゅらきや,hirataks@churakiya.com,"https://churakiya.com/about/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,108,2026-09-09,,,,,,,,,,,
有限会社進和建設所,info@ehime-shield.co.jp,"http://shinwakensetsusyo.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,109,2026-09-09,,,,,,,,,,,
イシドヤホーム株式会社,ishidoya@jomon.ne.jp,"http://ishidoyahome.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,110,2026-09-09,,,,,,,,,,,
株式会社北三住建,kitami1919@gmail.com,"http://kitami-j.com/about/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,⚠2026-09-07 登録URLは旧サイト。現行は https://www.kitami-juken.com/ — URL差し替え前に承認しないこと / 2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,111,2026-09-09,,,,,,,,,,,
株式会社センケンホーム,info@senkenhome.jp,"http://www.senkenhome.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,112,2026-09-09,,,,,,,,,,,
有限会社金森建築,info@kanamori-k.com,"http://kanamori-k.com/company/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,113,2026-09-09,,,,,,,,,,,
株式会社小坂工務店,email.solar@kosaka-arc.jp,"http://www.kosaka-arc.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,114,2026-09-09,,,,,,,,,,,
志村建設株式会社,shimu@eos.ocn.ne.jp,"https://shimuken.net/gaiyou.html",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,115,2026-09-09,,,,,,,,,,,
松谷建築設計,info@e-matuya.net,"https://e-matuya.net/company.html",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2009止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,116,2026-09-09,,,,,,,,,,,
古民家ライフ株式会社,mail@kominkalife.com,"https://www.kominkalife.com/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2017止). C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,117,2026-09-09,,,,,,,,,,,
株式会社後田工務所,info@ushiroda.com,"http://www.ushiroda.com/about/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,118,2026-09-09,,,,,,,,,,,
有限会社佐藤工務所,satokom@juno.ocn.ne.jp,"http://satou-koumusyo.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,119,2026-09-09,,,,,,,,,,,
株式会社アヅマ,info@kk-aduma.co.jp,"http://www.kk-aduma.co.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,120,2026-09-09,,,,,,,,,,,
株式会社家本工務店,iemoto4141@crux.ocn.ne.jp,"http://www.iemoto-koumuten.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,approved,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 G1 PASS確認のうえ承認（C0/C3は9:00デモ制作時に実施）,121,2026-09-09,,,,,,,,,,,
